"Tabela 5938 - Produto interno bruto a preços correntes, impostos, líquidos de subsídios, sobre produtos a preços correntes e valor adicionado bruto a preços correntes total e por atividade econômica, e respectivas participações - Referência 2010"
"Variável - Produto Interno Bruto a preços correntes (Mil Reais)"
"Cód.";"Município";"Ano"
"1506161";"Rio Maria (PA)";"872543,1"
"1506187";"Rondon do Pará (PA)";"938381,5"
"1506195";"Rurópolis (PA)";"516465,0"
"1506203";"Salinópolis (PA)";"732524,5"
"1506302";"Salvaterra (PA)";"235242,5"
"1506351";"Santa Bárbara do Pará (PA)";"278332,5"
"1506401";"Santa Cruz do Arari (PA)";"98542,6"
"1506500";"Santa Izabel do Pará (PA)";"1505978,5"
"1506559";"Santa Luzia do Pará (PA)";"233057,7"
"1506583";"Santa Maria das Barreiras (PA)";"696577,2"
"1506609";"Santa Maria do Pará (PA)";"499868,4"
"1506708";"Santana do Araguaia (PA)";"1764088,5"
"1506807";"Santarém (PA)";"7764936,4"
"1506906";"Santarém Novo (PA)";"67380,4"
"1507003";"Santo Antônio do Tauá (PA)";"582208,8"
"1507102";"São Caetano de Odivelas (PA)";"200863,9"
"1507151";"São Domingos do Araguaia (PA)";"425974,4"
"1507201";"São Domingos do Capim (PA)";"589309,6"
"1507300";"São Félix do Xingu (PA)";"2020084,7"
"1507409";"São Francisco do Pará (PA)";"326142,7"
"1507458";"São Geraldo do Araguaia (PA)";"937038,1"
"1507466";"São João da Ponta (PA)";"66007,6"
"1507474";"São João de Pirabas (PA)";"203685,4"
"1507508";"São João do Araguaia (PA)";"214553,5"
"1507607";"São Miguel do Guamá (PA)";"938620,7"
"1507706";"São Sebastião da Boa Vista (PA)";"264513,8"
"1507755";"Sapucaia (PA)";"160507,2"
"1507805";"Senador José Porfírio (PA)";"327336,4"
"1507904";"Soure (PA)";"277731,8"
"1507953";"Tailândia (PA)";"1738043,0"
"1507961";"Terra Alta (PA)";"101759,8"
"1507979";"Terra Santa (PA)";"875905,2"
"1508001";"Tomé-Açu (PA)";"1297601,6"
"1508035";"Tracuateua (PA)";"339249,0"
"1508050";"Trairão (PA)";"373497,3"
"1508084";"Tucumã (PA)";"1174447,7"
"1508100";"Tucuruí (PA)";"5999822,8"
"1508126";"Ulianópolis (PA)";"2302813,2"
"1508159";"Uruará (PA)";"870209,2"
"1508209";"Vigia (PA)";"520317,4"
"1508308";"Viseu (PA)";"700430,6"
"1508357";"Vitória do Xingu (PA)";"4086688,1"
"1508407";"Xinguara (PA)";"2091023,3"
"1600055";"Serra do Navio (AP)";"99725,0"
"1600105";"Amapá (AP)";"184055,7"
"1600154";"Pedra Branca do Amapari (AP)";"391427,2"
"1600204";"Calçoene (AP)";"231683,7"
"1600212";"Cutias (AP)";"94530,6"
"1600238";"Ferreira Gomes (AP)";"478972,3"
"1600253";"Itaubal (AP)";"108364,7"
"1600279";"Laranjal do Jari (AP)";"1168830,5"
"1600303";"Macapá (AP)";"15571144,8"
"1600402";"Mazagão (AP)";"468715,1"
"1600501";"Oiapoque (AP)";"696943,9"
"1600535";"Porto Grande (AP)";"426170,0"
"1600550";"Pracuúba (AP)";"82806,5"
"1600600";"Santana (AP)";"3091307,1"
"1600709";"Tartarugalzinho (AP)";"266854,0"
"1600808";"Vitória do Jari (AP)";"252760,5"
"1700251";"Abreulândia (TO)";"109870,9"
"1700301";"Aguiarnópolis (TO)";"224319,9"
"1700350";"Aliança do Tocantins (TO)";"233447,1"
"1700400";"Almas (TO)";"273731,7"
"1700707";"Alvorada (TO)";"628959,3"
"1701002";"Ananás (TO)";"173648,6"
"1701051";"Angico (TO)";"49246,9"
"1701101";"Aparecida do Rio Negro (TO)";"288442,1"
"1701309";"Aragominas (TO)";"93577,0"
"1701903";"Araguacema (TO)";"347916,9"
"1702000";"Araguaçu (TO)";"388687,8"
"1702109";"Araguaína (TO)";"6165264,5"
