id_municipio,nome_municipio,populacao
1507151,São Domingos do Araguaia - PA,25358
1507201,São Domingos do Capim - PA,31837
1507300,São Félix do Xingu - PA,124763
1507409,São Francisco do Pará - PA,15833
1507458,São Geraldo do Araguaia - PA,24991
1507466,São João da Ponta - PA,6059
1507474,São João de Pirabas - PA,22842
1507508,São João do Araguaia - PA,13940
1507607,São Miguel do Guamá - PA,58328
1507706,São Sebastião da Boa Vista - PA,26301
1507755,Sapucaia - PA,5849
1507805,Senador José Porfírio - PA,11839
1507904,Soure - PA,25181
1507953,Tailândia - PA,103664
1507961,Terra Alta - PA,11591
1507979,Terra Santa - PA,18619
1508001,Tomé-Açu - PA,62854
1508035,Tracuateua - PA,30656
1508050,Trairão - PA,18807
1508084,Tucumã - PA,39059
1508100,Tucuruí - PA,112148
1508126,Ulianópolis - PA,57632
1508159,Uruará - PA,45517
1508209,Vigia - PA,53191
1508308,Viseu - PA,61049
1508357,Vitória do Xingu - PA,14987
1508407,Xinguara - PA,44410
1600055,Serra do Navio - AP,5306
1600105,Amapá - AP,9029
1600154,Pedra Branca do Amapari - AP,15931
1600204,Calçoene - AP,10926
1600212,Cutias - AP,5864
1600238,Ferreira Gomes - AP,7591
1600253,Itaubal - AP,5387
1600279,Laranjal do Jari - AP,49446
1600303,Macapá - AP,493634
1600402,Mazagão - AP,21206
1600501,Oiapoque - AP,26627
1600535,Porto Grande - AP,21484
1600550,Pracuúba - AP,4993
1600600,Santana - AP,119610
1600709,Tartarugalzinho - AP,16855
1600808,Vitória do Jari - AP,15605
1700251,Abreulândia - TO,2564
1700301,Aguiarnópolis - TO,6572
1700350,Aliança do Tocantins - TO,5434
1700400,Almas - TO,7131
1700707,Alvorada - TO,8427
1701002,Ananás - TO,9607
1701051,Angico - TO,3417
1701101,Aparecida do Rio Negro - TO,4741
1701309,Aragominas - TO,5786
1701903,Araguacema - TO,7016
1702000,Araguaçu - TO,8567
1702109,Araguaína - TO,177517
1702158,Araguanã - TO,5663
1702208,Araguatins - TO,35346
1702307,Arapoema - TO,6670
1702406,Arraias - TO,10601
1702554,Augustinópolis - TO,18178
1702703,Aurora do Tocantins - TO,3731
1702901,Axixá do Tocantins - TO,9725
1703008,Babaçulândia - TO,10662
1703057,Bandeirantes do Tocantins - TO,3512
1703073,Barra do Ouro - TO,4549
1703107,Barrolândia - TO,5614
1703206,Bernardo Sayão - TO,4469
1703305,Bom Jesus do Tocantins - TO,4779
1703602,Brasilândia do Tocantins - TO,2191
1703701,Brejinho de Nazaré - TO,5475
1703800,Buriti do Tocantins - TO,11197
1703826,Cachoeirinha - TO,2266
1703842,Campos Lindos - TO,9917
1703867,Cariri do Tocantins - TO,4321
1703883,Carmolândia - TO,2556
1703891,Carrasco Bonito - TO,4059
1703909,Caseara - TO,5295
1704105,Centenário - TO,2874
1704600,Chapada de Areia - TO,1401
1705102,Chapada da Natividade - TO,3334
1705508,Colinas do Tocantins - TO,34990
1705557,Combinado - TO,4843
1705607,Conceição do Tocantins - TO,4124
1706001,Couto Magalhães - TO,5536
1706100,Cristalândia - TO,7300
1706258,Crixás do Tocantins - TO,1708
1706506,Darcinópolis - TO,6018
1707009,Dianópolis - TO,21850
1707108,Divinópolis do Tocantins - TO,6856
1707207,Dois Irmãos do Tocantins - TO,7211
1707306,Dueré - TO,4687
1707405,Esperantina - TO,10851
1707553,Fátima - TO,3841
1707652,Figueirópolis - TO,5284
1707702,Filadélfia - TO,8837
1708205,Formoso do Araguaia - TO,18482
1708254,Tabocão - TO,2576
1708304,Goianorte - TO,5116
1709005,Goiatins - TO,12942
1709302,Guaraí - TO,25677
1709500,Gurupi - TO,85737
1709807,Ipueiras - TO,1977
1710508,Itacajá - TO,7414
1710706,Itaguatins - TO,5896
1710904,Itapiratins - TO,3758
1711100,Itaporã do Tocantins - TO,2435
1711506,Jaú do Tocantins - TO,3819
1711803,Juarina - TO,2202
1711902,Lagoa da Confusão - TO,13034
1711951,Lagoa do Tocantins - TO,4237
1712009,Lajeado - TO,3101
1712157,Lavandeira - TO,1892
1712405,Lizarda - TO,3748
1712454,Luzinópolis - TO,3060
1712504,Marianópolis do Tocantins - TO,5094
